Date,Year,Month,Count,Population,Incidence_per_100k
2002/01/01 0:00,2002,January,2,83068889,0.002408
2002/02/01 0:00,2002,February,0,83068889,0
2002/03/01 0:00,2002,March,3,83068889,0.003611
2002/04/01 0:00,2002,April,0,83068889,0
2002/05/01 0:00,2002,May,5,83068889,0.006019
2002/06/01 0:00,2002,June,1,83068889,0.001204
2002/07/01 0:00,2002,July,1,83068889,0.001204
2002/08/01 0:00,2002,August,0,83068889,0
2002/09/01 0:00,2002,September,1,83068889,0.001204
2002/10/01 0:00,2002,October,5,83068889,0.006019
2002/11/01 0:00,2002,November,0,83068889,0
2002/12/01 0:00,2002,December,0,83068889,0
2003/01/01 0:00,2003,January,1,84731835,0.00118
2003/02/01 0:00,2003,February,0,84731835,0
2003/03/01 0:00,2003,March,0,84731835,0
2003/04/01 0:00,2003,April,0,84731835,0
2003/05/01 0:00,2003,May,2,84731835,0.00236
2003/06/01 0:00,2003,June,2,84731835,0.00236
2003/07/01 0:00,2003,July,1,84731835,0.00118
2003/08/01 0:00,2003,August,4,84731835,0.004721
2003/09/01 0:00,2003,September,2,84731835,0.00236
2003/10/01 0:00,2003,October,2,84731835,0.00236
2003/11/01 0:00,2003,November,0,84731835,0
2003/12/01 0:00,2003,December,2,84731835,0.00236
2004/01/01 0:00,2004,January,1,86394504,0.001157
2004/02/01 0:00,2004,February,2,86394504,0.002315
2004/03/01 0:00,2004,March,0,86394504,0
2004/04/01 0:00,2004,April,1,86394504,0.001157
2004/05/01 0:00,2004,May,0,86394504,0
2004/06/01 0:00,2004,June,3,86394504,0.003472
2004/07/01 0:00,2004,July,2,86394504,0.002315
2004/08/01 0:00,2004,August,2,86394504,0.002315
2004/09/01 0:00,2004,September,1,86394504,0.001157
2004/10/01 0:00,2004,October,0,86394504,0
2004/11/01 0:00,2004,November,2,86394504,0.002315
2004/12/01 0:00,2004,December,4,86394504,0.00463
2005/01/01 0:00,2005,January,4,88015962,0.004545
2005/02/01 0:00,2005,February,3,88015962,0.003408
2005/03/01 0:00,2005,March,1,88015962,0.001136
2005/04/01 0:00,2005,April,0,88015962,0
2005/05/01 0:00,2005,May,0,88015962,0
2005/06/01 0:00,2005,June,1,88015962,0.001136
2005/07/01 0:00,2005,July,3,88015962,0.003408
2005/08/01 0:00,2005,August,5,88015962,0.005681
2005/09/01 0:00,2005,September,2,88015962,0.002272
2005/10/01 0:00,2005,October,3,88015962,0.003408
2005/11/01 0:00,2005,November,0,88015962,0
2005/12/01 0:00,2005,December,1,88015962,0.001136
2006/01/01 0:00,2006,January,1,89508986,0.001117
2006/02/01 0:00,2006,February,5,89508986,0.005586
2006/03/01 0:00,2006,March,2,89508986,0.002234
2006/04/01 0:00,2006,April,6,89508986,0.006703
2006/05/01 0:00,2006,May,3,89508986,0.003352
2006/06/01 0:00,2006,June,3,89508986,0.003352
2006/07/01 0:00,2006,July,1,89508986,0.001117
2006/08/01 0:00,2006,August,6,89508986,0.006703
2006/09/01 0:00,2006,September,2,89508986,0.002234
2006/10/01 0:00,2006,October,4,89508986,0.004469
2006/11/01 0:00,2006,November,3,89508986,0.003352
2006/12/01 0:00,2006,December,1,89508986,0.001117
2007/01/01 0:00,2007,January,3,91075184,0.003294
2007/02/01 0:00,2007,February,4,91075184,0.004392
2007/03/01 0:00,2007,March,4,91075184,0.004392
2007/04/01 0:00,2007,April,2,91075184,0.002196
2007/05/01 0:00,2007,May,3,91075184,0.003294
2007/06/01 0:00,2007,June,4,91075184,0.004392
2007/07/01 0:00,2007,July,5,91075184,0.00549
2007/08/01 0:00,2007,August,2,91075184,0.002196
2007/09/01 0:00,2007,September,4,91075184,0.004392
2007/10/01 0:00,2007,October,1,91075184,0.001098
2007/11/01 0:00,2007,November,3,91075184,0.003294
2007/12/01 0:00,2007,December,6,91075184,0.006588
2008/01/01 0:00,2008,January,10,92699095,0.010788
2008/02/01 0:00,2008,February,3,92699095,0.003236
2008/03/01 0:00,2008,March,1,92699095,0.001079
2008/04/01 0:00,2008,April,3,92699095,0.003236
2008/05/01 0:00,2008,May,5,92699095,0.005394
2008/06/01 0:00,2008,June,1,92699095,0.001079
2008/07/01 0:00,2008,July,4,92699095,0.004315
2008/08/01 0:00,2008,August,4,92699095,0.004315
2008/09/01 0:00,2008,September,2,92699095,0.002158
2008/10/01 0:00,2008,October,4,92699095,0.004315
2008/11/01 0:00,2008,November,4,92699095,0.004315
2008/12/01 0:00,2008,December,4,92699095,0.004315
2009/01/01 0:00,2009,January,3,94384250,0.003178
2009/02/01 0:00,2009,February,1,94384250,0.001059
2009/03/01 0:00,2009,March,1,94384250,0.001059
2009/04/01 0:00,2009,April,8,94384250,0.008476
2009/05/01 0:00,2009,May,0,94384250,0
2009/06/01 0:00,2009,June,3,94384250,0.003178
2009/07/01 0:00,2009,July,4,94384250,0.004238
2009/08/01 0:00,2009,August,6,94384250,0.006357
2009/09/01 0:00,2009,September,3,94384250,0.003178
2009/10/01 0:00,2009,October,2,94384250,0.002119
2009/11/01 0:00,2009,November,2,94384250,0.002119
2009/12/01 0:00,2009,December,6,94384250,0.006357
2010/01/01 0:00,2010,January,3,96337125,0.003114
2010/02/01 0:00,2010,February,0,96337125,0
2010/03/01 0:00,2010,March,4,96337125,0.004152
2010/04/01 0:00,2010,April,3,96337125,0.003114
2010/05/01 0:00,2010,May,6,96337125,0.006228
2010/06/01 0:00,2010,June,4,96337125,0.004152
2010/07/01 0:00,2010,July,4,96337125,0.004152
2010/08/01 0:00,2010,August,0,96337125,0
2010/09/01 0:00,2010,September,1,96337125,0.001038
2010/10/01 0:00,2010,October,5,96337125,0.00519
2010/11/01 0:00,2010,November,7,96337125,0.007266
2010/12/01 0:00,2010,December,1,96337125,0.001038
2011/01/01 0:00,2011,January,1,98248614,0.001018
2011/02/01 0:00,2011,February,4,98248614,0.004071
2011/03/01 0:00,2011,March,2,98248614,0.002036
2011/04/01 0:00,2011,April,4,98248614,0.004071
2011/05/01 0:00,2011,May,1,98248614,0.001018
2011/06/01 0:00,2011,June,7,98248614,0.007125
2011/07/01 0:00,2011,July,12,98248614,0.012214
2011/08/01 0:00,2011,August,5,98248614,0.005089
2011/09/01 0:00,2011,September,5,98248614,0.005089
2011/10/01 0:00,2011,October,5,98248614,0.005089
2011/11/01 0:00,2011,November,7,98248614,0.007125
2011/12/01 0:00,2011,December,11,98248614,0.011196
2012/01/01 0:00,2012,January,3,100175512,0.002995
2012/02/01 0:00,2012,February,9,100175512,0.008984
2012/03/01 0:00,2012,March,6,100175512,0.005989
2012/04/01 0:00,2012,April,5,100175512,0.004991
2012/05/01 0:00,2012,May,6,100175512,0.005989
2012/06/01 0:00,2012,June,7,100175512,0.006988
2012/07/01 0:00,2012,July,3,100175512,0.002995
2012/08/01 0:00,2012,August,2,100175512,0.001996
2012/09/01 0:00,2012,September,5,100175512,0.004991
2012/10/01 0:00,2012,October,11,100175512,0.010981
2012/11/01 0:00,2012,November,1,100175512,0.000998
2012/12/01 0:00,2012,December,3,100175512,0.002995
2013/01/01 0:00,2013,January,1,102076336,0.00098
2013/02/01 0:00,2013,February,3,102076336,0.002939
2013/03/01 0:00,2013,March,2,102076336,0.001959
2013/04/01 0:00,2013,April,2,102076336,0.001959
2013/05/01 0:00,2013,May,8,102076336,0.007837
2013/06/01 0:00,2013,June,4,102076336,0.003919
2013/07/01 0:00,2013,July,1,102076336,0.00098
2013/08/01 0:00,2013,August,7,102076336,0.006858
2013/09/01 0:00,2013,September,9,102076336,0.008817
2013/10/01 0:00,2013,October,13,102076336,0.012736
2013/11/01 0:00,2013,November,2,102076336,0.001959
2013/12/01 0:00,2013,December,6,102076336,0.005878
2014/01/01 0:00,2014,January,4,103767130,0.003855
2014/02/01 0:00,2014,February,3,103767130,0.002891
2014/03/01 0:00,2014,March,4,103767130,0.003855
2014/04/01 0:00,2014,April,4,103767130,0.003855
2014/05/01 0:00,2014,May,1,103767130,0.000964
2014/06/01 0:00,2014,June,3,103767130,0.002891
2014/07/01 0:00,2014,July,7,103767130,0.006746
2014/08/01 0:00,2014,August,3,103767130,0.002891
2014/09/01 0:00,2014,September,5,103767130,0.004818
2014/10/01 0:00,2014,October,6,103767130,0.005782
2014/11/01 0:00,2014,November,3,103767130,0.002891
2014/12/01 0:00,2014,December,21,103767130,0.020238
2015/01/01 0:00,2015,January,1,105312992,0.00095
2015/02/01 0:00,2015,February,13,105312992,0.012344
2015/03/01 0:00,2015,March,6,105312992,0.005697
2015/04/01 0:00,2015,April,3,105312992,0.002849
2015/05/01 0:00,2015,May,9,105312992,0.008546
2015/06/01 0:00,2015,June,2,105312992,0.001899
2015/07/01 0:00,2015,July,9,105312992,0.008546
2015/08/01 0:00,2015,August,3,105312992,0.002849
2015/09/01 0:00,2015,September,9,105312992,0.008546
2015/10/01 0:00,2015,October,4,105312992,0.003798
2015/11/01 0:00,2015,November,5,105312992,0.004748
2015/12/01 0:00,2015,December,3,105312992,0.002849
2016/01/01 0:00,2016,January,6,106735719,0.005621
2016/02/01 0:00,2016,February,3,106735719,0.002811
2016/03/01 0:00,2016,March,2,106735719,0.001874
2016/04/01 0:00,2016,April,3,106735719,0.002811
2016/05/01 0:00,2016,May,4,106735719,0.003748
2016/06/01 0:00,2016,June,6,106735719,0.005621
2016/07/01 0:00,2016,July,2,106735719,0.001874
2016/08/01 0:00,2016,August,5,106735719,0.004684
2016/09/01 0:00,2016,September,8,106735719,0.007495
2016/10/01 0:00,2016,October,3,106735719,0.002811
2016/11/01 0:00,2016,November,8,106735719,0.007495
2016/12/01 0:00,2016,December,8,106735719,0.007495
2017/01/01 0:00,2017,January,8,108119693,0.007399
2017/02/01 0:00,2017,February,4,108119693,0.0037
2017/03/01 0:00,2017,March,5,108119693,0.004625
2017/04/01 0:00,2017,April,2,108119693,0.00185
2017/05/01 0:00,2017,May,3,108119693,0.002775
2017/06/01 0:00,2017,June,6,108119693,0.005549
2017/07/01 0:00,2017,July,7,108119693,0.006474
2017/08/01 0:00,2017,August,6,108119693,0.005549
2017/09/01 0:00,2017,September,5,108119693,0.004625
2017/10/01 0:00,2017,October,2,108119693,0.00185
2017/11/01 0:00,2017,November,3,108119693,0.002775
2017/12/01 0:00,2017,December,8,108119693,0.007399
2018/01/01 0:00,2018,January,6,109465287,0.005481
2018/02/01 0:00,2018,February,6,109465287,0.005481
2018/03/01 0:00,2018,March,4,109465287,0.003654
2018/04/01 0:00,2018,April,5,109465287,0.004568
2018/05/01 0:00,2018,May,7,109465287,0.006395
2018/06/01 0:00,2018,June,4,109465287,0.003654
2018/07/01 0:00,2018,July,4,109465287,0.003654
2018/08/01 0:00,2018,August,2,109465287,0.001827
2018/09/01 0:00,2018,September,5,109465287,0.004568
2018/10/01 0:00,2018,October,3,109465287,0.002741
2018/11/01 0:00,2018,November,7,109465287,0.006395
2018/12/01 0:00,2018,December,11,109465287,0.010049
2019/01/01 0:00,2019,January,8,110804683,0.00722
2019/02/01 0:00,2019,February,2,110804683,0.001805
2019/03/01 0:00,2019,March,4,110804683,0.00361
2019/04/01 0:00,2019,April,4,110804683,0.00361
2019/05/01 0:00,2019,May,2,110804683,0.001805
2019/06/01 0:00,2019,June,6,110804683,0.005415
2019/07/01 0:00,2019,July,6,110804683,0.005415
2019/08/01 0:00,2019,August,2,110804683,0.001805
2019/09/01 0:00,2019,September,2,110804683,0.001805
2019/10/01 0:00,2019,October,7,110804683,0.006317
2019/11/01 0:00,2019,November,3,110804683,0.002707
2019/12/01 0:00,2019,December,5,110804683,0.004512
2020/01/01 0:00,2020,January,8,112081264,0.007138
2020/02/01 0:00,2020,February,2,112081264,0.001784
2020/03/01 0:00,2020,March,4,112081264,0.003569
2020/04/01 0:00,2020,April,0,112081264,0
2020/05/01 0:00,2020,May,0,112081264,0
2020/06/01 0:00,2020,June,3,112081264,0.002677
2020/07/01 0:00,2020,July,0,112081264,0
2020/08/01 0:00,2020,August,1,112081264,0.000892
